
SetupTitle, TFT sat RollOut
PrimitiveTest, I/V Sweep
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 03/10/2020 09:28:27
MetaData, TestRecord.TestTarget, P1G150-5
MetaData, TestRecord.IterationIndex, 4
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, saturação
MetaData, TestRecord.LinkKey, 3af45c34-9a7f-488b-930d-8b0665e102a3
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -4
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, absId, absIg
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-14, 1E-15
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.001, 1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.54545454545454541
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.59090909090909094
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.54545454545454541
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.59090909090909094
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.54545454545454541
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.59090909090909094
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.54545454545454541
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.59090909090909094
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.54545454545454541
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.59090909090909094
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		2E-05	2E-05	5
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VG, IG, ID, IS, VD, dIddVg, absIg, absId
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, A, A, V, S, A, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, TFT sat RollOut
Dimension1, 111, 111, 111, 111, 111, 111, 111, 111
Dimension2, 1, 1, 1, 1, 1, 1, 1, 1
DataName, VG, VD, ID, IG, IS, dIddVg, absIg, absId
DataValue, -4, 7, 9.44E-13, -7.77E-13, 4.1900000000000003E-13, 2.774505843108205E-11, 7.77E-13, 9.44E-13
DataValue, -3.9, 7, 2.2450000000000002E-12, 3.8500000000000003E-13, 4.0200000000000005E-13, 8.1917337888683369E-12, 3.8500000000000003E-13, 2.2450000000000002E-12
DataValue, -3.8000000000000003, 7, 2.3840000000000003E-12, 1.187E-12, 4.71E-13, 1.2895024163783796E-12, 1.187E-12, 2.3840000000000003E-12
DataValue, -3.7, 7, 1.6160000000000002E-12, -3.3200000000000005E-13, 7.06E-13, 7.958741417133983E-12, 3.3200000000000005E-13, 1.6160000000000002E-12
DataValue, -3.6, 7, 9.6000000000000015E-13, -1.7020000000000002E-12, 9.36E-13, 5.9352142233780563E-13, 1.7020000000000002E-12, 9.6000000000000015E-13
DataValue, -3.5, 7, 1.2480000000000001E-12, -1.835E-12, 6.77E-13, 1.6013245178340005E-12, 1.835E-12, 1.2480000000000001E-12
DataValue, -3.4, 7, 1.5200000000000002E-12, -1.251E-12, 6.4500000000000008E-13, 1.0961539920293664E-12, 1.251E-12, 1.5200000000000002E-12
DataValue, -3.3000000000000003, 7, 8.24E-13, 4.86E-13, -2.5300000000000003E-13, 7.8560619631773174E-12, 4.86E-13, 8.24E-13
DataValue, -3.2, 7, -4.5200000000000004E-13, 4.4400000000000003E-13, -7.51E-13, 1.8854865856402241E-12, 4.4400000000000003E-13, 4.5200000000000004E-13
DataValue, -3.1, 7, -1.3980000000000001E-12, -3.27E-13, -4.0500000000000004E-13, 3.602484530495262E-13, 3.27E-13, 1.3980000000000001E-12
DataValue, -3, 7, -3.05E-13, -1.82E-13, -6.4E-14, 1.9174603452613755E-11, 1.82E-13, 3.05E-13
DataValue, -2.9, 7, -9.4E-14, -1.2440000000000002E-12, 4.77E-13, 1.1511950629669877E-11, 1.2440000000000002E-12, 9.4E-14
DataValue, -2.8000000000000003, 7, 1.5150000000000001E-12, 8E-15, 7.56E-13, 3.0416089800732754E-11, 8E-15, 1.5150000000000001E-12
DataValue, -2.7, 7, 1.9870000000000003E-12, -1.228E-12, 1.0120000000000001E-12, 1.3839400873814266E-11, 1.228E-12, 1.9870000000000003E-12
DataValue, -2.6, 7, 2.37E-13, 4.1900000000000003E-13, 3.5800000000000004E-13, 1.2922515471729628E-11, 4.1900000000000003E-13, 2.37E-13
DataValue, -2.5, 7, -4.77E-13, 1.3000000000000001E-12, -1.0160000000000001E-12, 4.0531505744745722E-11, 1.3000000000000001E-12, 4.77E-13
DataValue, -2.4, 7, -3.0980000000000003E-12, 3.1950000000000004E-12, -2.111E-12, 1.8830091973322785E-11, 3.1950000000000004E-12, 3.0980000000000003E-12
DataValue, -2.3000000000000003, 7, -2.4290000000000003E-12, 2.3880000000000003E-12, -1.452E-12, 5.5260818153284638E-12, 2.3880000000000003E-12, 2.4290000000000003E-12
DataValue, -2.2, 7, -1.6640000000000002E-12, 2.882E-12, -6.9200000000000008E-13, 7.3884967266853954E-12, 2.882E-12, 1.6640000000000002E-12
DataValue, -2.1, 7, 1.03E-12, 1.948E-12, 1.89E-13, 3.9037037112193045E-13, 1.948E-12, 1.03E-12
DataValue, -2, 7, 2.002E-12, 2.0530000000000002E-12, 2.94E-13, 2.7119147450432371E-12, 2.0530000000000002E-12, 2.002E-12
DataValue, -1.9000000000000001, 7, 1.807E-12, 7.07E-13, 4.0400000000000005E-13, 2.43609123712609E-11, 7.07E-13, 1.807E-12
DataValue, -1.8, 7, 1.83E-13, -1.3150000000000002E-12, 4.34E-13, 6.5326344489715281E-12, 1.3150000000000002E-12, 1.83E-13
DataValue, -1.7000000000000002, 7, -6.9400000000000007E-13, -2.0200000000000003E-12, 8.4000000000000008E-14, 4.3761050061060388E-12, 2.0200000000000003E-12, 6.9400000000000007E-13
DataValue, -1.6, 7, -7.1600000000000008E-13, -1.9070000000000003E-12, -9.1E-14, 7.7782411385991589E-13, 1.9070000000000003E-12, 7.1600000000000008E-13
DataValue, -1.5, 7, 1.019E-12, -1.224E-12, -1.5680000000000002E-12, 2.0717979068195005E-10, 1.224E-12, 1.019E-12
DataValue, -1.4000000000000001, 7, 1.3875E-11, -3.9400000000000004E-13, -1.2959000000000001E-11, 2.4406041390131287E-09, 3.9400000000000004E-13, 1.3875E-11
DataValue, -1.3, 7, 1.18591E-10, -2.44E-13, -1.0541000000000001E-10, 1.4623951428418735E-08, 2.44E-13, 1.18591E-10
DataValue, -1.2, 7, 7.79014E-10, 1.16E-13, -7.01886E-10, 6.1276824099408E-08, 1.16E-13, 7.79014E-10
DataValue, -1.1, 7, 3.64795E-09, 6.2300000000000007E-13, -3.34326E-09, 1.8106068035890421E-07, 6.2300000000000007E-13, 3.64795E-09
DataValue, -1, 7, 1.2771999999999999E-08, -9.2200000000000011E-13, -1.21071E-08, 4.297506932883853E-07, 9.2200000000000011E-13, 1.2771999999999999E-08
DataValue, -0.9, 7, 3.6675699999999994E-08, -3.8400000000000003E-13, -3.52241E-08, 7.89047064075137E-07, 3.8400000000000003E-13, 3.6675699999999994E-08
DataValue, -0.8, 7, 8.4489E-08, 4.2000000000000003E-13, -8.14902E-08, 1.1117735956719196E-06, 4.2000000000000003E-13, 8.4489E-08
DataValue, -0.70000000000000007, 7, 1.61918E-07, 1.6E-14, -1.57363E-07, 1.4983699478251139E-06, 1.6E-14, 1.61918E-07
DataValue, -0.6, 7, 2.86745E-07, -2.33E-13, -2.80886E-07, 1.9560149108554318E-06, 2.33E-13, 2.86745E-07
DataValue, -0.5, 7, 4.65268E-07, 2.67E-13, -4.5760399999999997E-07, 2.310125309161048E-06, 2.67E-13, 4.65268E-07
DataValue, -0.4, 7, 7.04706E-07, -6.86E-13, -6.93915E-07, 2.6092116834172468E-06, 6.86E-13, 7.04706E-07
DataValue, -0.3, 7, 1.01036E-06, 9.1E-14, -9.96647E-07, 2.8733407667391954E-06, 9.1E-14, 1.01036E-06
DataValue, -0.2, 7, 1.3888300000000001E-06, 3.5600000000000005E-13, -1.3713700000000001E-06, 3.1174562462145171E-06, 3.5600000000000005E-13, 1.3888300000000001E-06
DataValue, -0.1, 7, 1.8449600000000003E-06, 2.5200000000000004E-13, -1.83116E-06, 3.3803074138916213E-06, 2.5200000000000004E-13, 1.8449600000000003E-06
DataValue, 0, 7, 2.3907300000000002E-06, -2.83E-13, -2.3727700000000004E-06, 3.6004261470623068E-06, 2.83E-13, 2.3907300000000002E-06
DataValue, 0.1, 7, 3.0199100000000004E-06, -1.19E-13, -3.0034200000000005E-06, 3.7703019885152804E-06, 1.19E-13, 3.0199100000000004E-06
DataValue, 0.2, 7, 3.7424600000000003E-06, 1.2700000000000001E-13, -3.7214000000000005E-06, 3.931055011992493E-06, 1.2700000000000001E-13, 3.7424600000000003E-06
DataValue, 0.3, 7, 4.55535E-06, -3.1100000000000004E-13, -4.53536E-06, 4.0708707921927375E-06, 3.1100000000000004E-13, 4.55535E-06
DataValue, 0.4, 7, 5.4665800000000006E-06, -6.09E-13, -5.4447100000000004E-06, 4.2243674968501979E-06, 6.09E-13, 5.4665800000000006E-06
DataValue, 0.5, 7, 6.4790200000000007E-06, 4.45E-13, -6.4613200000000008E-06, 4.3817890099396445E-06, 4.45E-13, 6.4790200000000007E-06
DataValue, 0.6, 7, 7.5995400000000009E-06, 3.4E-13, -7.5738300000000006E-06, 4.5021551447561427E-06, 3.4E-13, 7.5995400000000009E-06
DataValue, 0.70000000000000007, 7, 8.8194600000000014E-06, -9.7E-14, -8.7965300000000016E-06, 4.6191115351043752E-06, 9.7E-14, 8.8194600000000014E-06
DataValue, 0.8, 7, 1.0154220000000002E-05, 5.2900000000000007E-13, -1.013069E-05, 4.7048665641889806E-06, 5.2900000000000007E-13, 1.0154220000000002E-05
DataValue, 0.9, 7, 1.15843E-05, -1.06E-13, -1.15597E-05, 4.7997313908469005E-06, 1.06E-13, 1.15843E-05
DataValue, 1, 7, 1.31387E-05, 5.4000000000000003E-14, -1.3118400000000001E-05, 4.9595787915707009E-06, 5.4000000000000003E-14, 1.31387E-05
DataValue, 1.1, 7, 1.48146E-05, -4.66E-13, -1.47947E-05, 5.0778029149771915E-06, 4.66E-13, 1.48146E-05
DataValue, 1.2, 7, 1.6609E-05, 3.88E-13, -1.65828E-05, 5.1516226501767662E-06, 3.88E-13, 1.6609E-05
DataValue, 1.3, 7, 1.85151E-05, 5.6E-13, -1.84929E-05, 5.2308645501306859E-06, 5.6E-13, 1.85151E-05
DataValue, 1.4000000000000001, 7, 2.05466E-05, -1.24E-13, -2.0533400000000002E-05, 5.3619680239678955E-06, 1.24E-13, 2.05466E-05
DataValue, 1.5, 7, 2.2715100000000002E-05, 1.3920000000000001E-12, -2.26973E-05, 5.4803777973976446E-06, 1.3920000000000001E-12, 2.2715100000000002E-05
DataValue, 1.6, 7, 2.50104E-05, -3.4700000000000004E-13, -2.49907E-05, 5.5562663154408836E-06, 3.4700000000000004E-13, 2.50104E-05
DataValue, 1.7000000000000002, 7, 2.7431100000000002E-05, -3.07E-13, -2.7412300000000002E-05, 5.6206626416325775E-06, 3.07E-13, 2.7431100000000002E-05
DataValue, 1.8, 7, 2.99778E-05, 9.5800000000000016E-13, -2.99716E-05, 5.7300813186532375E-06, 9.5800000000000016E-13, 2.99778E-05
